model,repeat,fold,split_number,seed,n_validation,roc_auc,accuracy,f1_macro,f1_fake,f1_real,elapsed_seconds,batch_size,eval_batch_size,prediction_path,roc_path
SVC,5,1,21,62,1026,0.9700515638240066,0.9210526315789473,0.9210465563678337,0.9217391304347825,0.9203539823008849,162.49647099990398,,,predictions/SVC/repeat_5_fold_1_predictions.csv.gz,roc_raw/SVC/repeat_5_fold_1_roc.csv
SVC,5,2,22,63,1026,0.973670911087552,0.9366471734892787,0.936645668887409,0.9363369245837414,0.9369544131910766,125.83194199996068,,,predictions/SVC/repeat_5_fold_2_predictions.csv.gz,roc_raw/SVC/repeat_5_fold_2_roc.csv
SVC,5,3,23,64,1026,0.9804403254182674,0.9269005847953217,0.9268888472950774,0.9278152069297401,0.9259624876604147,127.90476449998096,,,predictions/SVC/repeat_5_fold_3_predictions.csv.gz,roc_raw/SVC/repeat_5_fold_3_roc.csv
SVC,5,4,24,65,1026,0.9688413148965114,0.9220272904483431,0.9220272904483431,0.9220272904483431,0.9220272904483431,124.9928479999071,,,predictions/SVC/repeat_5_fold_4_predictions.csv.gz,roc_raw/SVC/repeat_5_fold_4_roc.csv
SVC,5,5,25,66,1025,0.9756335282651072,0.9317073170731708,0.9317056919855321,0.9320388349514563,0.9313725490196079,128.66694529994857,,,predictions/SVC/repeat_5_fold_5_predictions.csv.gz,roc_raw/SVC/repeat_5_fold_5_roc.csv
SVC,6,1,26,67,1026,0.9791882782546576,0.9317738791423001,0.9317572832139259,0.9328214971209212,0.9306930693069306,132.4012862999225,,,predictions/SVC/repeat_6_fold_1_predictions.csv.gz,roc_raw/SVC/repeat_6_fold_1_roc.csv
SVC,6,2,27,68,1026,0.9740546948918756,0.9210526315789473,0.9210357536835443,0.9221902017291066,0.9198813056379821,126.18575970001984,,,predictions/SVC/repeat_6_fold_2_predictions.csv.gz,roc_raw/SVC/repeat_6_fold_2_roc.csv
SVC,6,3,28,69,1026,0.9724093643248256,0.9249512670565302,0.9249511957631747,0.9250243427458618,0.9248780487804877,129.09847450000234,,,predictions/SVC/repeat_6_fold_3_predictions.csv.gz,roc_raw/SVC/repeat_6_fold_3_roc.csv
SVC,6,4,29,70,1026,0.9743396828653832,0.9259259259259259,0.9259233926128592,0.9263565891472868,0.9254901960784314,128.51277550007217,,,predictions/SVC/repeat_6_fold_4_predictions.csv.gz,roc_raw/SVC/repeat_6_fold_4_roc.csv
SVC,6,5,30,71,1025,0.9795017056530216,0.9297560975609757,0.9297554958234027,0.9295499021526419,0.9299610894941633,124.2118257000111,,,predictions/SVC/repeat_6_fold_5_predictions.csv.gz,roc_raw/SVC/repeat_6_fold_5_roc.csv
DistilBERT,1,1,1,42,1026,0.9763421983592292,0.9298245614035088,0.9297978857257981,0.9284294234592445,0.9311663479923518,153.4562415999826,16.0,16.0,predictions/DistilBERT/repeat_1_fold_1_predictions.csv.gz,roc_raw/DistilBERT/repeat_1_fold_1_roc.csv
DistilBERT,1,2,2,43,1026,0.9755252328351742,0.9200779727095516,0.9200731133599085,0.9194499017681729,0.9206963249516441,153.867274899967,16.0,16.0,predictions/DistilBERT/repeat_1_fold_2_predictions.csv.gz,roc_raw/DistilBERT/repeat_1_fold_2_roc.csv
DistilBERT,1,3,3,44,1026,0.9773852543422668,0.9181286549707602,0.9181134083307996,0.91699604743083,0.9192307692307692,153.80368269991595,16.0,16.0,predictions/DistilBERT/repeat_1_fold_3_predictions.csv.gz,roc_raw/DistilBERT/repeat_1_fold_3_roc.csv
DistilBERT,1,4,4,45,1026,0.9670876888995285,0.9152046783625731,0.9152039533869685,0.9149560117302051,0.9154518950437317,153.73475770000368,16.0,16.0,predictions/DistilBERT/repeat_1_fold_4_predictions.csv.gz,roc_raw/DistilBERT/repeat_1_fold_4_roc.csv
DistilBERT,1,5,5,46,1025,0.9768347191764132,0.9170731707317074,0.9170703291201412,0.9175557710960232,0.9165848871442591,154.1431886999635,16.0,16.0,predictions/DistilBERT/repeat_1_fold_5_predictions.csv.gz,roc_raw/DistilBERT/repeat_1_fold_5_roc.csv
DistilBERT,2,1,6,47,1026,0.9674391740668544,0.9044834307992202,0.904477623283793,0.9037328094302554,0.9052224371373307,154.0914466000395,16.0,16.0,predictions/DistilBERT/repeat_2_fold_1_predictions.csv.gz,roc_raw/DistilBERT/repeat_2_fold_1_roc.csv
DistilBERT,2,2,7,48,1026,0.9720977774737906,0.9171539961013645,0.9171476208798256,0.9164208456243855,0.9178743961352657,154.27936339995358,16.0,16.0,predictions/DistilBERT/repeat_2_fold_2_predictions.csv.gz,roc_raw/DistilBERT/repeat_2_fold_2_roc.csv
