dataset_key,dataset,classifier,classifier_name,feature_set,repeat,fold,accuracy,elapsed_seconds
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,6,3,0.9239766081871345,9.942449599970132
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,6,4,0.9454191033138402,9.454596700030379
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,6,5,0.958984375,9.591735599911772
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,1,1,0.8645224171539961,9.233856900013052
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,1,2,0.8411306042884991,9.468005000031553
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,1,3,0.8771929824561403,9.438863800023682
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,1,4,0.868421052631579,9.357614599983208
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,1,5,0.8312195121951219,9.202140299952589
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,2,1,0.8508771929824561,9.28194099990651
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,2,2,0.8606237816764133,9.199878899962641
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,2,3,0.8830409356725146,9.435928100021556
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,2,4,0.8499025341130604,9.364053400000557
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,2,5,0.84,9.35895000002347
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,3,1,0.8450292397660819,9.209702500025742
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,3,2,0.8489278752436648,9.40243689995259
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,3,3,0.8771929824561403,9.33920719998423
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,3,4,0.8586744639376218,9.243464999948628
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,3,5,0.848780487804878,9.335669399937615
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,4,1,0.8606237816764133,9.293376400019042
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,4,2,0.8635477582846004,9.32252399995923
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,4,3,0.8508771929824561,9.409056500066072
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,4,4,0.8518518518518519,9.342865400016308
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,4,5,0.8595121951219512,9.386190199991688
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,5,1,0.8752436647173489,9.24030079995282
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,5,2,0.8596491228070176,9.420769799966365
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,5,3,0.8528265107212476,9.253684299997985
Joint,Joint corpus,MNB,Multinomial Naive Bayes,full,5,4,0.8499025341130604,9.389244199963287
